"deleted_file","extension","size_gb"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\SaaS_Email_Marketing_Masterclass_Gumroad_SLENDERMAN_BBHF.zip.part",".part","0.4703"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Beach+Vacation+Print+Planner+Bundle.zip",".zip","0.2007"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\ConfidenceCheck.zip",".zip","0.0001"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\CopingWithStress.zip",".zip","0.0001"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Course engage.zip",".zip","0.0001"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Francis_Ochoco_PLR_Products_Bundle_SLENDERMAN_BBHF.zip.part",".part","2.1633"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\ItsYourYear.zip",".zip","0.0001"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\KidTales_PLR_FE_OTOS_SLENDERMAN_BBHF.zip.part",".part","2.2443"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Lead Magnet.zip",".zip","0.0001"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\MoneyandCouplesPLR-NSP.zip",".zip","0.0001"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\PowerOfSelfDiscipline.zip",".zip","0.0001"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\ScalablePLR_Products_Complete_PLR_MRR_Products_SM_BBHF.zip.part",".part","1.7773"
